Speaker,ContainsMoney
Speaker1,0
Speaker2,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,1
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,1
Speaker2,0
Speaker1,1
Speaker2,1
Speaker1,1
Speaker2,0
Speaker1,0
Speaker2,1
Speaker1,0
Speaker2,0
Speaker1,1
Speaker2,1
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,1
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,1
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,1
Speaker2,1
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
Speaker1,0
Speaker2,0
